d,ref,flow,wilson_ref,wilson_flow
3,12.2832,9.5069,0.12337293,0.09555255
5,4.4958,3.5577,0.04530007,0.03588294
7,3.6321,2.8268,0.03662999,0.02854189
9,2.8079,2.2174,0.02835201,0.02241750
11,2.1925,1.6990,0.02216717,0.01720388
