d,ref,flow,wilson_ref,wilson_flow
3,12.6079,10.0295,0.12662600,0.10079018
5,4.7639,3.7114,0.04799058,0.03742620
7,3.6602,2.8917,0.03691213,0.02919391
9,2.9031,2.2491,0.02930844,0.02273618
11,2.3001,1.7547,0.02324887,0.01776427
